id,title,budget,revenue,genres,is_franchise,release_date,vote_average,vote_count,runtime,collection,roi
13509,The Monster Squad,12000000.0,3769990,Comedy,False,1987-08-14,6.7,589,82,,-68.58341666666666
13509,The Monster Squad,12000000.0,3769990,Action,False,1987-08-14,6.7,589,82,,-68.58341666666666
13509,The Monster Squad,12000000.0,3769990,Fantasy,False,1987-08-14,6.7,589,82,,-68.58341666666666
8592,Dick Tracy,47000000.0,103738726,Adventure,False,1990-04-05,6.2,970,105,,120.72069361702127
8592,Dick Tracy,47000000.0,103738726,Comedy,False,1990-04-05,6.2,970,105,,120.72069361702127
8592,Dick Tracy,47000000.0,103738726,Crime,False,1990-04-05,6.2,970,105,,120.72069361702127
7979,The Kite Runner,20000000.0,73276047,Drama,False,2007-12-14,7.332,1182,128,,266.380235
11258,Hard Rain,70000000.0,19900000,Thriller,False,1998-01-16,5.843,731,97,,-71.57142857142857
11258,Hard Rain,70000000.0,19900000,Crime,False,1998-01-16,5.843,731,97,,-71.57142857142857
11258,Hard Rain,70000000.0,19900000,Action,False,1998-01-16,5.843,731,97,,-71.57142857142857
46528,The Warrior's Way,42000000.0,11100000,Adventure,False,2010-12-01,6.565,633,100,,-73.57142857142858
46528,The Warrior's Way,42000000.0,11100000,Fantasy,False,2010-12-01,6.565,633,100,,-73.57142857142858
46528,The Warrior's Way,42000000.0,11100000,Action,False,2010-12-01,6.565,633,100,,-73.57142857142858
46528,The Warrior's Way,42000000.0,11100000,Western,False,2010-12-01,6.565,633,100,,-73.57142857142858
46528,The Warrior's Way,42000000.0,11100000,Thriller,False,2010-12-01,6.565,633,100,,-73.57142857142858
8011,Highlander III: The Sorcerer,30000000.0,36738574,Fantasy,True,1994-11-29,4.742,513,99,Highlander Collection,22.46191333333333
8011,Highlander III: The Sorcerer,30000000.0,36738574,Action,True,1994-11-29,4.742,513,99,Highlander Collection,22.46191333333333
8011,Highlander III: The Sorcerer,30000000.0,36738574,Adventure,True,1994-11-29,4.742,513,99,Highlander Collection,22.46191333333333
823491,Out of Darkness,1500000.0,1987281,Adventure,False,2024-02-09,5.839,96,87,,32.4854
823491,Out of Darkness,1500000.0,1987281,Horror,False,2024-02-09,5.839,96,87,,32.4854
823491,Out of Darkness,1500000.0,1987281,Thriller,False,2024-02-09,5.839,96,87,,32.4854
586,Wag the Dog,15000000.0,64256513,Comedy,False,1997-12-25,6.938,979,97,,328.37675333333334
586,Wag the Dog,15000000.0,64256513,Drama,False,1997-12-25,6.938,979,97,,328.37675333333334
9449,The Borrowers,29000000.0,22619699,Adventure,False,1997-12-05,6.003,487,87,,-22.001037931034485
9449,The Borrowers,29000000.0,22619699,Fantasy,False,1997-12-05,6.003,487,87,,-22.001037931034485
